id,name
1000,Alabama
2000,Alaska
4000,Arizona
5000,Arkansas
6000,California
8000,Colorado
9000,Connecticut
10000,Delaware
11000,District of Columbia
12000,Florida
13000,Georgia
15000,Hawaii
16000,Idaho
17000,Illinois
18000,Indiana
19000,Iowa
20000,Kansas
21000,Kentucky
22000,Louisiana
23000,Maine
24000,Maryland
25000,Massachusetts
26000,Michigan
27000,Minnesota
28000,Mississippi
29000,Missouri
30000,Montana
31000,Nebraska
32000,Nevada
33000,New Hampshire
34000,New Jersey
35000,New Mexico
36000,New York
37000,North Carolina
38000,North Dakota
39000,Ohio
40000,Oklahoma
41000,Oregon
42000,Pennsylvania
44000,Rhode Island
45000,South Carolina
46000,South Dakota
47000,Tennessee
48000,Texas
49000,Utah
50000,Vermont
51000,Virginia
53000,Washington
54000,West Virginia
55000,Wisconsin
56000,Wyoming
60000,America Somoa
64000,Federated States of Micronesia
66000,Guam
68000,Marshall Islands
69000,Northern Mariana Islands
70000,Palau
72000,Puerto Rico
74000,U.S. Minor Outlying Islands
78000,Virgin Islands of the United States
